Store_ID,Metratura_scaled,FTE_scaled,PTE_scaled,QAC_Oct_scaled,QAC_Nov_scaled,QAC_Dec_scaled,QAC_Jan_scaled,QAC_Feb_scaled,QAC_Mar_scaled,TNPS_Oct_scaled,TNPS_Nov_scaled,TNPS_Dec_scaled,TNPS_Jan_scaled,TNPS_Feb_scaled,Tipologia_encoded,Localita_encoded,area_encoded,SM si/no_encoded,Provincia_encoded,Footfall,night_Fixed_CB_%_scaled_200,midday_Fixed_CB_%_scaled_200,CB_Night_scaled_200,CB_Midday_scaled_200,CB_Weekend_scaled_200,night_MEAN_scaled_ARPU_200,night_MIN_scaled_ARPU_200,night_MAX_scaled_ARPU_200,midday_MEAN_scaled_ARPU_200,midday_MIN_scaled_ARPU_200,midday_MAX_scaled_ARPU_200,weekend_MEAN_scaled_ARPU_200,weekend_MIN_scaled_ARPU_200,weekend_MAX_scaled_ARPU_200,night_Fixed_CB_%_scaled_500,midday_Fixed_CB_%_scaled_500,CB_Night_scaled_500,CB_Midday_scaled_500,CB_Weekend_scaled_500,night_MEAN_scaled_ARPU_500,night_MIN_scaled_ARPU_500,night_MAX_scaled_ARPU_500,midday_MEAN_scaled_ARPU_500,midday_MIN_scaled_ARPU_500,midday_MAX_scaled_ARPU_500,weekend_MEAN_scaled_ARPU_500,weekend_MIN_scaled_ARPU_500,weekend_MAX_scaled_ARPU_500,night_Fixed_CB_%_scaled_1000,midday_Fixed_CB_%_scaled_1000,CB_Night_scaled_1000,CB_Midday_scaled_1000,CB_Weekend_scaled_1000,night_MEAN_scaled_ARPU_1000,night_MIN_scaled_ARPU_1000,night_MAX_scaled_ARPU_1000,midday_MEAN_scaled_ARPU_1000,midday_MIN_scaled_ARPU_1000,midday_MAX_scaled_ARPU_1000,weekend_MEAN_scaled_ARPU_1000,weekend_MIN_scaled_ARPU_1000,weekend_MAX_scaled_ARPU_1000,Footfall_classif
109,0.2489626556016597,0.375,0.0,0.04132231404958678,0.021406727828746176,0.16666666666666666,0.03125,0.05,0.06976744186046513,0.6636363636363637,0.7140000000000001,0.7240000000000001,0.9165,0.867,1,130,2,0,56,0.2396894711305192,0.4609929078014184,0.6324252539391982,0.1068556108770586,0.11221754117196477,0.1409421677518192,0.3185685771701063,0.9904101901056026,0.02362972509103849,0.35137582383947435,0.9917524987755982,0.031004523339550963,0.3209476985053784,0.9829217529807672,0.042473786496749016,0.7186337681387186,0.6786220678914063,0.04709280421951526,0.05073464774582445,0.06051425342207711,0.3185685771701063,0.9904101901056026,0.02362972509103849,0.35137582383947435,0.9917524987755982,0.031004523339550963,0.3209476985053784,0.9829217529807672,0.042473786496749016,0.6462896109105495,0.5818061737661611,0.029221124216342573,0.02709595154606312,0.04201200722558708,0.3941417778692937,0.9860695372570112,0.04938579015204226,0.4122367220487773,1.0,0.08723544502461203,0.521525579623817,0.995579511761668,0.6916404181489683,1
181,0.17427385892116182,0.375,0.8,0.033057851239669415,0.07033639143730888,0.0,0.015625,0.05,0.02325581395348837,0.5318181818181817,0.40700000000000003,0.6,0.7190000000000001,0.7190000000000001,3,182,2,1,70,0.4800582241630276,0.2785714285714286,0.4118446847530513,0.10608962083492916,0.21332822673305246,0.3020394484871697,0.4702555822866575,0.9903063987152596,0.13388390862062022,0.4017433011776885,0.9916485667161824,0.03487119490152006,0.3397468231189109,0.972307085425482,0.2121306890188928,0.386545503865455,0.43874540044596255,0.17380384277282432,0.2384779605676253,0.33437460755996484,0.4702555822866575,0.9903063987152596,0.13388390862062022,0.4017433011776885,0.9916485667161824,0.03487119490152006,0.3397468231189109,0.972307085425482,0.2121306890188928,0.3891729886672286,0.4489835603406771,0.12584564162504872,0.1722098253816456,0.2302757411539688,0.40090924988928256,0.5763385928393603,0.16306913708429574,0.44638242455158295,0.6680796334970943,0.3755618289902619,0.4625797010921349,0.7958099625166482,0.3944547421227997,2
137,0.2033195020746888,0.375,0.0,0.09090909090909093,0.1804281345565749,0.01282051282051282,0.09375,0.11666666666666667,0.18604651162790692,0.5454545454545454,0.625,0.7240000000000001,0.926,0.632,1,1,0,1,1,0.3001455604075691,0.2376237623762376,0.5280445018157249,0.5017234775947913,0.35465338950593644,0.4202412868632708,0.2754733762921092,0.9863996506038526,0.07901449085198556,0.3203334536604133,0.9906008221551028,0.24946644068349605,0.2546825094994456,0.9991868859077846,0.1658248826556594,0.5525146937004458,0.6434091050021241,0.31483109380886604,0.2323245008162753,0.24896395830717066,0.2754733762921092,0.9863996506038526,0.07901449085198556,0.3203334536604133,0.9906008221551028,0.24946644068349605,0.2546825094994456,0.9991868859077846,0.1658248826556594,0.5886608583414005,0.6202217350669863,0.3656713774660858,0.4333581270144866,0.4090337548259129,0.2927444619637498,0.9809665131747708,0.7449373987029079,0.4164224956044409,0.9887698599544216,0.5925959267712635,0.3658230704659924,0.9681308630836696,0.7409911848673795,1
351,0.1908713692946058,0.375,0.0,0.0743801652892562,0.01834862385321101,0.0,0.109375,0.13333333333333333,0.09302325581395347,0.7436363636363637,0.5329999999999999,0.633,0.75,0.688,1,182,2,0,70,0.2348374575448811,0.2850574712643678,0.4149349842834895,0.1654538490999617,0.21179624664879354,0.19207200306396016,0.4283740212429045,0.9555594938232106,0.04096522590150421,0.4866418873412997,0.9568545691425776,0.12686073551143487,0.4942481975417588,0.9640273539906016,0.19809268354974505,0.4444182513489444,0.4150749444731206,0.1895014441793294,0.20143162124827327,0.1980566369458747,0.4283740212429045,0.9555594938232106,0.04096522590150421,0.4866418873412997,0.9568545691425776,0.12686073551143487,0.4942481975417588,0.9640273539906016,0.19809268354974505,0.4428845993147823,0.4573020376079397,0.14107604576205152,0.14437006340098466,0.13822034498636349,0.4149780770307292,0.9755374322714072,0.40278681981482667,0.4533790090230954,0.9844670101092812,0.270401294779571,0.5112798330098669,0.9904444496087086,0.3944547421227997,1
122,0.14522821576763487,0.375,0.0,0.008264462809917356,0.021406727828746176,0.02564102564102564,0.03125,0.016666666666666666,0.06976744186046513,0.5190909090909089,0.4470000000000001,0.7929999999999999,0.8195,0.609,1,72,2,1,40,0.3750606501698205,0.3270777479892761,0.6284561928652235,0.14170815779394866,0.0953657602451168,0.12887782458828034,0.2811545975945913,0.9899139048094964,0.04280567297769936,0.3571875562368809,0.9912555408611544,0.05887389476332765,0.2506813356564258,0.972307085425482,0.03339552803137155,0.6066400218003453,0.5679759095491391,0.41027251036041695,0.2588220519904559,0.3010172045711416,0.2811545975945913,0.9899139048094964,0.04280567297769936,0.3571875562368809,0.9912555408611544,0.05887389476332765,0.2506813356564258,0.972307085425482,0.03339552803137155,0.6148059319662629,0.6197810806799249,0.2951510643573124,0.19434704069705666,0.2098608011900967,0.206086158283308,0.9756196729186544,0.14847193751364895,0.28677019616099997,0.9923272353445308,0.2756386330504725,0.28394801702062045,0.9888034106323906,0.13687991955181675,2
334,0.14937759336099585,0.625,0.0,0.3223140495867769,0.3333333333333333,0.23076923076923075,0.34375,0.3,0.3488372093023256,0.6409090909090909,0.5710000000000001,0.489,0.8069999999999999,0.536,2,348,0,0,11,0.5173216885007277,0.17094017094017094,0.4448871181938911,0.043661432401378784,0.06932209881271544,0.035044044427422434,0.4790156380301042,0.9904101901056026,0.060047539487202636,0.4764159353290835,0.9917524987755982,0.026621854670901283,0.3553749507820597,0.9991868859077846,0.020850220007725625,0.40090894335335175,0.3838673297086054,0.14517141780735904,0.1848549541630039,0.13214240863995982,0.4790156380301042,0.9904101901056026,0.060047539487202636,0.4764159353290835,0.9917524987755982,0.026621854670901283,0.3553749507820597,0.9991868859077846,0.020850220007725625,0.3996819988642816,0.3589427164565108,0.10374384585414233,0.13533807955229696,0.10465589912513723,0.4660715206190662,0.9814343356638932,0.3026704003011416,0.5302628782824742,0.9891406354062348,0.40441606817917947,0.5514820763319344,0.9933195600896432,0.6818602555976583,2
171,0.1908713692946058,0.625,0.0,0.14049586776859505,0.12538226299694188,0.10256410256410256,0.359375,0.2333333333333333,0.2558139534883721,0.6281818181818182,0.7020000000000001,0.75,0.8,0.6729999999999999,2,70,0,1,16,0.5619602134885977,0.2014051522248244,0.44860771391645216,0.16238988893144388,0.14170815779394866,0.07185944082726925,0.78619700386934,0.9904101901056026,0.27459577774508026,0.6047028290880536,0.9917524987755982,0.0690620405907991,0.7923926840769082,0.9991868859077846,0.26746435345286546,0.4991979644891864,0.4729948697302692,0.17945497927916615,0.22014316212482726,0.17565615973879192,0.78619700386934,0.9904101901056026,0.27459577774508026,0.6047028290880536,0.9917524987755982,0.0690620405907991,0.7923926840769082,0.9991868859077846,0.26746435345286546,0.4754348705501618,0.4880271635452732,0.23327312010767545,0.2950093861792938,0.22996139269649,0.516924815534331,0.9337380248475644,0.3485766391701037,0.5642219353434222,0.951338645113058,0.5457650671642962,0.6324072438974386,0.8051761652895315,0.4554260735872401,2
182,0.17012448132780086,0.125,1.0,0.11570247933884298,0.051987767584097865,0.11538461538461538,0.203125,0.2,0.20930232558139533,0.3527272727272728,0.40700000000000003,0.633,0.7030000000000001,0.7000000000000001,2,189,2,1,63,0.3851528384279476,0.0,0.4645440899292349,0.0,0.13404825737265413,0.026426656453466105,0.1872293114278208,0.9987806926015312,0.0,0.4480260092585733,0.9917524987755982,0.037823532534312136,0.27785502319641675,0.9991868859077846,0.0187691119187306,0.0,0.4599384420041853,0.0,0.04395328393821425,0.008665075976390808,0.1872293114278208,0.9987806926015312,0.0,0.4480260092585733,0.9917524987755982,0.037823532534312136,0.27785502319641675,0.9991868859077846,0.0187691119187306,0.39259259259259255,0.4997013938427259,0.00042503453405589214,0.0143094959798817,0.0026387560655969965,0.164592137364735,0.9956398465490096,0.01228762608465893,0.4562077731163349,1.0,0.0292785922185934,0.3269634725605275,1.0,0.012463947229059046,2
304,0.1867219917012448,0.375,0.4,0.09917355371900828,0.09785932721712537,0.10256410256410256,0.1875,0.13333333333333333,0.02325581395348837,0.4872727272727273,0.0,0.6940000000000001,0.8045,0.5379999999999999,3,148,2,0,62,0.3251819505094614,0.3129251700680272,0.7021962807331971,0.055151283033320564,0.12485637686710073,0.09632324779777862,0.2739550358674345,0.9904101901056026,0.031104902582464636,0.3948941590275276,0.9917524987755982,0.029578392586725438,0.28713841908941284,0.9991868859077846,0.05256130285033552,0.6611574834613506,0.686051370635754,0.11164134120306417,0.14215747833731007,0.1145140022604546,0.2739550358674345,0.9904101901056026,0.031104902582464636,0.3948941590275276,0.9917524987755982,0.029578392586725438,0.28713841908941284,0.9991868859077846,0.05256130285033552,0.7056103637269556,0.7365497316244934,0.11826585910105195,0.12984805015407502,0.11191690574859207,0.2527453142889011,0.9938918775824528,0.05148213812471133,0.3685668620748206,0.9931943560824678,0.23602872211852394,0.3410636763546875,0.99437603356411,0.17661006446342126,1
183,0.0954356846473029,0.375,0.2,0.19834710743801653,0.12232415902140673,0.1794871794871795,0.21875,0.16666666666666666,0.18604651162790692,0.6736363636363636,0.667,0.667,0.8460000000000001,0.7140000000000001,2,190,2,1,73,0.3114022319262494,0.2786885245901639,0.6069725078090593,0.045576407506702415,0.14860206817311372,0.15573535044044426,0.26936407024873504,0.9904101901056026,0.023560779270870247,0.311116694028361,0.9917524987755982,0.07474331886669805,0.19898901061579544,0.9991868859077846,0.05263135496147405,0.7043389633080955,0.5661017981112493,0.04232073339193772,0.07233454728117543,0.06935200301393947,0.26936407024873504,0.9904101901056026,0.023560779270870247,0.311116694028361,0.9917524987755982,0.07474331886669805,0.19898901061579544,0.9991868859077846,0.05263135496147405,0.599641962047977,0.568979109300982,0.032763078666808346,0.03903233804413276,0.0419323132504516,0.14849229586647705,0.9913463439112594,0.0520372748166717,0.231528561349576,1.0,0.06377217075703473,0.2583722921360529,0.9981522861667608,0.10908815311150397,1
